Nvit_RNA16008_R3	gene_0
Amel_RNA5807_R0	gene_9432
Nvit_RNA6997_R0	gene_9432
Amel_RNA5794_R0	gene_9433
Lhum_RNA13679_R0	gene_9434
Dmel_RNA23846_R1	gene_9435
Lhum_RNA13651_R0	gene_9436
Lhum_RNA13652_R0	gene_9437
Lhum_RNA23468_R5	gene_9438
Dqua_RNA23465_R8	gene_9439
Lhum_RNA13659_R0	gene_9440
Lhum_RNA13658_R0	gene_9441
Lhum_RNA15283_R6	gene_9442
Lhum_RNA13657_R0	gene_9443
Mpha_RNA3136_R3	gene_9443
Lhum_RNA13662_R0	gene_9444
Lhum_RNA13664_R0	gene_9445
Lhum_RNA13669_R0	gene_9446
Lhum_RNA13670_R0	gene_9446
Lhum_RNA15283_R9	gene_9447
Lhum_RNA13686_R0	gene_9448
Cbir_RNA15529_R0	gene_9448
Lhum_RNA13692_R0	gene_9449
Lhum_RNA13698_R0	gene_9450
Lhum_RNA13702_R0	gene_9451
Aech_RNA12607_R0	gene_9451
Lhum_RNA13717_R0	gene_9452
Lhum_RNA13718_R0	gene_9453
Lhum_RNA13725_R0	gene_9454
Lhum_RNA13731_R0	gene_9455
Lhum_RNA13732_R0	gene_9456
Lhum_RNA13736_R0	gene_9457
Lhum_RNA13738_R0	gene_9458
Aech_RNA4329_R0	gene_9459
Aech_RNA4328_R0	gene_9459
Amel_RNA10860_R3	gene_9459
Lhum_RNA13754_R0	gene_9460
Lhum_RNA13756_R0	gene_9461
Cbir_RNA20797_R0	gene_9461
Lhum_RNA13763_R0	gene_9462
Cbir_RNA18444_R0	gene_9462
Sinv_RNA1085_R0	gene_9462
Dmel_RNA8521_R1	gene_9462
Lhum_RNA13765_R0	gene_9463
Lhum_RNA13766_R0	gene_9464
Cbir_RNA4910_R0	gene_9464
Nvit_RNA1046_R1	gene_9464
Lhum_RNA13767_R0	gene_9465
Lhum_RNA13772_R0	gene_9466
Lhum_RNA13777_R0	gene_9467
Lhum_RNA13783_R0	gene_9468
Sinv_RNA18135_R0	gene_9468
Lhum_RNA13789_R0	gene_9469
Lhum_RNA13792_R0	gene_9470
Sinv_RNA19583_R0	gene_9470
Lhum_RNA13793_R0	gene_9471
Lhum_RNA13795_R0	gene_9471
Lhum_RNA13796_R0	gene_9471
Lhum_RNA13797_R0	gene_9472
Lhum_RNA13156_R1	gene_9473
Mpha_RNA388_R6	gene_9474
Aech_RNA2912_R2	gene_9475
Lhum_RNA13817_R0	gene_9476
Amel_RNA13795_R0	gene_9476
Dmel_RNA17420_R0	gene_9476
Lhum_RNA13818_R0	gene_9477
Lhum_RNA13820_R0	gene_9478
Cbir_RNA16069_R0	gene_9478
Lhum_RNA13825_R0	gene_9479
Lhum_RNA14679_R5	gene_9480
Lhum_RNA13826_R0	gene_9481
Lhum_RNA13827_R0	gene_9482
Lhum_RNA13829_R0	gene_9483
Lhum_RNA13831_R0	gene_9484
Lhum_RNA13837_R0	gene_9485
Lhum_RNA13839_R0	gene_9486
Lhum_RNA13836_R0	gene_9487
Cbir_RNA15576_R0	gene_9487
Cbir_RNA15577_R0	gene_9487
Sinv_RNA552_R0	gene_9487
Dqua_RNA3045_R0	gene_9487
Dmel_RNA30864_R0	gene_9487
Lhum_RNA13838_R0	gene_9488
Lhum_RNA13842_R0	gene_9489
Dqua_RNA3295_R0	gene_9489
Lhum_RNA13843_R0	gene_9490
Lhum_RNA13860_R0	gene_9491
Lhum_RNA13862_R0	gene_9492
Amel_RNA10224_R0	gene_9492
Lhum_RNA13866_R0	gene_9493
Lhum_RNA13869_R0	gene_9494
Lhum_RNA13874_R0	gene_9495
Lhum_RNA13872_R0	gene_9495
Nvit_RNA16521_R0	gene_9496
Lhum_RNA13888_R0	gene_9497
Nvit_RNA20844_R0	gene_9497
Dmel_RNA26723_R0	gene_9497
Lhum_RNA13891_R0	gene_9498
Lhum_RNA13894_R0	gene_9499
Dqua_RNA613_R0	gene_9499
Lhum_RNA13897_R0	gene_9500
Lhum_RNA13900_R0	gene_9501
Dqua_RNA619_R0	gene_9501
Amel_RNA15229_R0	gene_9501
Lhum_RNA13904_R0	gene_9502
Lhum_RNA13903_R0	gene_9503
Sinv_RNA21840_R9	gene_9504
Lhum_RNA13684_R0	gene_9505
Lhum_RNA13687_R0	gene_9506
Lhum_RNA13688_R0	gene_9507
Lhum_RNA13689_R0	gene_9507
Lhum_RNA13695_R0	gene_9508
Lhum_RNA13697_R0	gene_9509
Lhum_RNA13713_R0	gene_9510
Lhum_RNA13722_R0	gene_9511
Lhum_RNA13719_R0	gene_9511
Lhum_RNA13721_R0	gene_9511
Lhum_RNA13724_R0	gene_9512
Cbir_RNA6359_R0	gene_9512
Amel_RNA24639_R0	gene_9512
Mpha_RNA1187_R0	gene_9512
Lhum_RNA13728_R0	gene_9513
Lhum_RNA13730_R0	gene_9513
Lhum_RNA13727_R0	gene_9513
Lhum_RNA13729_R0	gene_9513
Sinv_RNA7396_R0	gene_9513
Cbir_RNA23694_R0	gene_9513
Dqua_RNA16792_R0	gene_9513
Dqua_RNA21615_R1	gene_9513
Lhum_RNA13733_R0	gene_9514
Cbir_RNA23690_R0	gene_9514
Sinv_RNA7956_R0	gene_9514
Lhum_RNA13737_R0	gene_9515
Lhum_RNA13743_R0	gene_9516
Amel_RNA25652_R0	gene_9516
Dqua_RNA7903_R0	gene_9516
Lhum_RNA13753_R0	gene_9517
Sinv_RNA5106_R0	gene_9517
Amel_RNA2733_R1	gene_9517
Dqua_RNA6397_R0	gene_9518
Cbir_RNA3183_R1	gene_9519
Lhum_RNA13755_R0	gene_9520
Lhum_RNA13758_R0	gene_9521
Dmel_RNA8004_R0	gene_9521
Lhum_RNA13761_R0	gene_9522
Lhum_RNA13762_R0	gene_9523
Lhum_RNA13764_R0	gene_9524
Lhum_RNA13768_R0	gene_9525
Lhum_RNA13770_R0	gene_9526
Lhum_RNA13769_R0	gene_9526
Dqua_RNA5155_R6	gene_9527
Lhum_RNA13773_R0	gene_9528
Mpha_RNA17214_R0	gene_9528
Lhum_RNA13781_R0	gene_9529
Lhum_RNA13782_R0	gene_9530
Sinv_RNA19458_R0	gene_9530
Cbir_RNA17311_R0	gene_9530
Aech_RNA7681_R0	gene_9530
Nvit_RNA5770_R0	gene_9530
Lhum_RNA13787_R0	gene_9531
Lhum_RNA13786_R0	gene_9531
Lhum_RNA13785_R0	gene_9531
Lhum_RNA13788_R0	gene_9531
Aech_RNA21676_R0	gene_9531
Lhum_RNA13791_R0	gene_9532
Cbir_RNA1420_R0	gene_9533
Lhum_RNA13800_R0	gene_9533
Cbir_RNA1422_R0	gene_9533
Nvit_RNA11900_R0	gene_9533
Lhum_RNA13807_R0	gene_9534
Lhum_RNA13808_R0	gene_9534
Lhum_RNA13809_R0	gene_9534
Lhum_RNA13810_R0	gene_9534
Cbir_RNA15640_R0	gene_9534
Mpha_RNA15862_R0	gene_9534
Lhum_RNA13811_R0	gene_9535
Lhum_RNA13816_R0	gene_9536
Aech_RNA10790_R0	gene_9536
Mpha_RNA22641_R0	gene_9536
Amel_RNA23941_R0	gene_9537
Lhum_RNA13823_R0	gene_9538
Lhum_RNA13828_R0	gene_9539
Lhum_RNA13828_R1	gene_9540
Lhum_RNA13830_R0	gene_9541
Lhum_RNA13834_R0	gene_9542
Mpha_RNA8048_R0	gene_9542
Amel_RNA12513_R0	gene_9542
Lhum_RNA13840_R0	gene_9543
Lhum_RNA13847_R0	gene_9544
Lhum_RNA13849_R0	gene_9545
Lhum_RNA13853_R0	gene_9546
Lhum_RNA13848_R0	gene_9547
Cbir_RNA12056_R0	gene_9547
Lhum_RNA13850_R0	gene_9548
Lhum_RNA13854_R0	gene_9549
Lhum_RNA13855_R0	gene_9550
Lhum_RNA13857_R0	gene_9551
Lhum_RNA3634_R8	gene_9551
Lhum_RNA6457_R9	gene_9551
Lhum_RNA13859_R0	gene_9552
Lhum_RNA13861_R0	gene_9553
Lhum_RNA13864_R0	gene_9554
Mpha_RNA12520_R0	gene_9555
Lhum_RNA13868_R0	gene_9555
Lhum_RNA13879_R0	gene_9556
Mpha_RNA12514_R0	gene_9556
Lhum_RNA13880_R0	gene_9557
Sinv_RNA3993_R0	gene_9558
Lhum_RNA13885_R0	gene_9558
Lhum_RNA13887_R0	gene_9559
Lhum_RNA13893_R0	gene_9560
Aech_RNA21764_R0	gene_9560
Lhum_RNA13896_R0	gene_9561
Lhum_RNA13895_R0	gene_9561
Lhum_RNA13899_R0	gene_9562
Lhum_RNA13898_R0	gene_9562
Lhum_RNA6970_R1	gene_9563
Lhum_RNA13905_R0	gene_9564
Lhum_RNA13907_R0	gene_9564
Aech_RNA5102_R4	gene_9565
Cbir_RNA24078_R1	gene_9566
Lhum_RNA13917_R0	gene_9567
Dqua_RNA12443_R2	gene_9567
Lhum_RNA13918_R0	gene_9568
Lhum_RNA646_R4	gene_9569
Dqua_RNA7910_R0	gene_9570
Lhum_RNA13914_R0	gene_9571
Lhum_RNA13916_R0	gene_9571
Dmel_RNA30890_R1	gene_9571
Nvit_RNA20124_R1	gene_9571
Mpha_RNA1971_R5	gene_9572
Lhum_RNA295_R6	gene_9573
Sinv_RNA17276_R5	gene_9574
Lhum_RNA13926_R0	gene_9575
Lhum_RNA13933_R0	gene_9576
Dqua_RNA17503_R0	gene_9577
Lhum_RNA13937_R0	gene_9578
Mpha_RNA6469_R0	gene_9578
Sinv_RNA15239_R5	gene_9579
Cbir_RNA588_R0	gene_9580
Lhum_RNA13939_R0	gene_9580
Amel_RNA21898_R0	gene_9580
Dmel_RNA5560_R3	gene_9580
Lhum_RNA13951_R0	gene_9581
Amel_RNA21898_R1	gene_9581
Sinv_RNA10036_R2	gene_9581
Sinv_RNA21586_R1	gene_9581
Mpha_RNA6469_R3	gene_9581
Mpha_RNA1794_R8	gene_9581
Sinv_RNA20490_R1	gene_9582
Nvit_RNA2721_R0	gene_9583
Nvit_RNA5522_R0	gene_9583
Nvit_RNA2662_R0	gene_9583
Dmel_RNA30890_R2	gene_9583
Nvit_RNA20124_R0	gene_9583
Nvit_RNA2717_R0	gene_9583
Mpha_RNA3653_R0	gene_9583
Lhum_RNA13966_R0	gene_9584
Dmel_RNA6342_R0	gene_9584
Lhum_RNA13968_R0	gene_9585
Sinv_RNA8501_R0	gene_9586
Lhum_RNA13925_R0	gene_9587
Lhum_RNA13922_R0	gene_9588
Lhum_RNA13929_R0	gene_9589
Lhum_RNA13928_R0	gene_9590
Lhum_RNA13923_R0	gene_9591
Lhum_RNA13920_R0	gene_9592
Lhum_RNA6138_R6	gene_9593
Lhum_RNA6138_R8	gene_9594
Lhum_RNA6138_R9	gene_9595
Lhum_RNA13919_R0	gene_9596
Lhum_RNA5921_R1	gene_9597
Lhum_RNA13930_R0	gene_9598
Lhum_RNA13921_R0	gene_9599
Lhum_RNA1812_R3	gene_9600
Lhum_RNA13934_R0	gene_9601
Lhum_RNA13936_R0	gene_9602
Lhum_RNA19902_R7	gene_9603
Sinv_RNA11556_R8	gene_9604
Lhum_RNA13954_R0	gene_9605
Lhum_RNA13961_R0	gene_9606
Sinv_RNA10049_R0	gene_9607
Mpha_RNA892_R6	gene_9608
Lhum_RNA8569_R7	gene_9609
Lhum_RNA13971_R0	gene_9610
Lhum_RNA19050_R4	gene_9611
Lhum_RNA4741_R4	gene_9612
Lhum_RNA13969_R0	gene_9613
Dqua_RNA13328_R1	gene_9614
Lhum_RNA13970_R0	gene_9615
Cbir_RNA14074_R4	gene_9616
Dqua_RNA14703_R5	gene_9617
Aech_RNA1938_R0	gene_9618
Lhum_RNA13969_R6	gene_9619
Lhum_RNA2200_R5	gene_9620
Sinv_RNA18557_R1	gene_9621
Lhum_RNA8569_R8	gene_9622
Sinv_RNA21158_R5	gene_9623
Lhum_RNA6504_R1	gene_9624
Aech_RNA7197_R8	gene_9625
Mpha_RNA1027_R0	gene_9626
Aech_RNA10635_R8	gene_9627
Dqua_RNA8404_R8	gene_9628
Sinv_RNA19154_R0	gene_9629
Sinv_RNA15168_R0	gene_9630
Cbir_RNA18534_R7	gene_9631
Lhum_RNA13979_R0	gene_9632
Cbir_RNA13824_R0	gene_9632
Lhum_RNA13984_R0	gene_9633
Dmel_RNA17063_R3	gene_9634
Lhum_RNA13995_R0	gene_9635
Lhum_RNA13997_R0	gene_9636
Lhum_RNA13998_R0	gene_9637
Lhum_RNA13999_R0	gene_9638
Mpha_RNA20358_R0	gene_9638
Sinv_RNA1109_R2	gene_9638
Lhum_RNA14027_R0	gene_9639
Lhum_RNA14023_R0	gene_9640
Lhum_RNA12229_R1	gene_9640
Lhum_RNA14029_R0	gene_9641
Lhum_RNA14032_R0	gene_9642
Mpha_RNA6328_R0	gene_9642
Nvit_RNA9052_R0	gene_9642
Lhum_RNA14040_R0	gene_9643
Lhum_RNA14048_R0	gene_9644
Lhum_RNA14050_R0	gene_9645
Cbir_RNA24451_R0	gene_9646
Lhum_RNA14052_R0	gene_9647
Lhum_RNA14053_R0	gene_9648
Dmel_RNA25623_R0	gene_9648
Sinv_RNA19877_R0	gene_9648
Lhum_RNA14054_R0	gene_9649
Lhum_RNA14056_R0	gene_9650
Dqua_RNA20280_R0	gene_9650
Lhum_RNA14058_R0	gene_9651
Lhum_RNA14060_R0	gene_9652
Cbir_RNA25382_R0	gene_9652
Lhum_RNA14068_R0	gene_9653
Lhum_RNA14070_R0	gene_9653
Lhum_RNA14071_R0	gene_9654
Lhum_RNA14076_R0	gene_9655
Amel_RNA10016_R0	gene_9655
Lhum_RNA14081_R0	gene_9656
Sinv_RNA12130_R0	gene_9656
Lhum_RNA14091_R0	gene_9657
Lhum_RNA14092_R0	gene_9658
Sinv_RNA1094_R1	gene_9658
Sinv_RNA21336_R1	gene_9658
Lhum_RNA14093_R0	gene_9659
Dqua_RNA2013_R0	gene_9660
Aech_RNA5814_R8	gene_9660
Sinv_RNA21989_R7	gene_9660
Lhum_RNA14097_R0	gene_9661
Nvit_RNA14409_R0	gene_9661
Lhum_RNA14099_R0	gene_9662
Lhum_RNA14102_R0	gene_9663
Lhum_RNA14104_R0	gene_9664
Lhum_RNA14111_R0	gene_9665
Aech_RNA11872_R0	gene_9665
Lhum_RNA14112_R0	gene_9666
Lhum_RNA14113_R0	gene_9667
Lhum_RNA14117_R0	gene_9668
Lhum_RNA14120_R0	gene_9668
Lhum_RNA14122_R0	gene_9669
Lhum_RNA14124_R0	gene_9670
Lhum_RNA14127_R0	gene_9671
Amel_RNA3179_R0	gene_9671
Lhum_RNA14129_R0	gene_9672
Lhum_RNA14133_R0	gene_9673
Lhum_RNA14131_R0	gene_9673
Amel_RNA28083_R0	gene_9673
Lhum_RNA14136_R0	gene_9674
Lhum_RNA14140_R0	gene_9675
Aech_RNA11026_R0	gene_9675
Lhum_RNA14142_R0	gene_9676
Lhum_RNA14149_R0	gene_9677
Sinv_RNA4929_R0	gene_9677
Dmel_RNA20620_R0	gene_9677
Lhum_RNA14165_R0	gene_9678
Lhum_RNA14167_R0	gene_9678
Lhum_RNA14166_R0	gene_9678
Nvit_RNA4433_R1	gene_9678
Lhum_RNA14171_R0	gene_9679
Lhum_RNA14175_R0	gene_9680
Dmel_RNA9449_R2	gene_9681
Lhum_RNA14179_R0	gene_9682
Lhum_RNA14180_R0	gene_9682
Nvit_RNA14549_R0	gene_9682
Dmel_RNA15236_R0	gene_9682
Lhum_RNA14182_R0	gene_9683
Lhum_RNA14184_R0	gene_9684
Lhum_RNA14185_R0	gene_9684
Lhum_RNA14187_R0	gene_9685
Lhum_RNA14191_R0	gene_9686
Mpha_RNA16650_R0	gene_9686
Lhum_RNA14193_R0	gene_9687
Lhum_RNA14197_R0	gene_9688
Lhum_RNA14199_R0	gene_9689
Lhum_RNA14219_R0	gene_9690
Lhum_RNA14218_R0	gene_9690
Lhum_RNA14213_R0	gene_9691
Mpha_RNA20362_R0	gene_9691
Dmel_RNA31975_R0	gene_9691
Aech_RNA7094_R0	gene_9692
Aech_RNA7095_R0	gene_9692
Nvit_RNA21926_R1	gene_9692
Dmel_RNA21910_R4	gene_9692
Sinv_RNA14679_R7	gene_9692
Lhum_RNA14223_R0	gene_9693
Lhum_RNA14224_R0	gene_9694
Lhum_RNA14225_R0	gene_9694
Lhum_RNA14227_R0	gene_9694
Lhum_RNA14230_R0	gene_9695
Lhum_RNA14232_R0	gene_9696
Lhum_RNA14231_R0	gene_9696
Aech_RNA2616_R0	gene_9696
Cbir_RNA4084_R0	gene_9696
Mpha_RNA13116_R0	gene_9696
Lhum_RNA14233_R0	gene_9697
Lhum_RNA14236_R0	gene_9698
Nvit_RNA2402_R0	gene_9698
Lhum_RNA14242_R0	gene_9699
Lhum_RNA14244_R0	gene_9700
Lhum_RNA14247_R0	gene_9701
Lhum_RNA13983_R0	gene_9702
Sinv_RNA627_R0	gene_9702
Lhum_RNA13988_R0	gene_9703
Lhum_RNA13987_R0	gene_9703
Amel_RNA646_R0	gene_9703
Nvit_RNA10171_R0	gene_9703
Lhum_RNA13986_R0	gene_9704
Lhum_RNA13985_R0	gene_9705
Mpha_RNA17000_R1	gene_9705
Mpha_RNA16999_R1	gene_9705
Mpha_RNA17729_R1	gene_9705
Lhum_RNA13991_R0	gene_9706
Lhum_RNA13993_R0	gene_9707
Lhum_RNA14021_R0	gene_9708
Lhum_RNA14028_R0	gene_9709
Lhum_RNA14031_R0	gene_9710
Lhum_RNA14034_R0	gene_9711
Dqua_RNA2034_R0	gene_9711
Lhum_RNA14035_R0	gene_9712
Lhum_RNA14036_R0	gene_9713
Dmel_RNA32706_R0	gene_9713
Lhum_RNA14039_R0	gene_9714
Dmel_RNA6609_R0	gene_9715
Lhum_RNA14042_R0	gene_9716
Lhum_RNA14043_R0	gene_9717
Mpha_RNA16087_R3	gene_9717
Aech_RNA20719_R2	gene_9717
Lhum_RNA14051_R0	gene_9718
Lhum_RNA14055_R0	gene_9719
Dqua_RNA2313_R0	gene_9719
Nvit_RNA8757_R0	gene_9719
Mpha_RNA20691_R0	gene_9719
Lhum_RNA14057_R0	gene_9720
Dmel_RNA1040_R0	gene_9720
Lhum_RNA14059_R0	gene_9721
Lhum_RNA14073_R0	gene_9722
Lhum_RNA14074_R0	gene_9723
Lhum_RNA14075_R0	gene_9724
Lhum_RNA14079_R0	gene_9725
Lhum_RNA14082_R0	gene_9726
Amel_RNA870_R0	gene_9726
Nvit_RNA14416_R0	gene_9727
Lhum_RNA14089_R0	gene_9728
Lhum_RNA14090_R0	gene_9729
Lhum_RNA14096_R0	gene_9730
Dmel_RNA10666_R1	gene_9730
Lhum_RNA14098_R0	gene_9731
Lhum_RNA14100_R0	gene_9732
Lhum_RNA14103_R0	gene_9733
Lhum_RNA14110_R0	gene_9734
Sinv_RNA12095_R2	gene_9734
Mpha_RNA17620_R0	gene_9735
Lhum_RNA14115_R0	gene_9736
Lhum_RNA14121_R0	gene_9737
Lhum_RNA14125_R0	gene_9738
Lhum_RNA14135_R0	gene_9739
Lhum_RNA14134_R0	gene_9740
Lhum_RNA14139_R0	gene_9741
Lhum_RNA14138_R0	gene_9742
Lhum_RNA14145_R0	gene_9743
Mpha_RNA20696_R0	gene_9743
Lhum_RNA14157_R0	gene_9744
Lhum_RNA14160_R0	gene_9745
Cbir_RNA2357_R0	gene_9745
Lhum_RNA14161_R0	gene_9746
Mpha_RNA6079_R0	gene_9746
Aech_RNA14083_R0	gene_9746
Lhum_RNA14170_R0	gene_9747
Mpha_RNA10324_R0	gene_9747
Dmel_RNA29998_R2	gene_9748
Aech_RNA14071_R0	gene_9749
Nvit_RNA8036_R8	gene_9750
Lhum_RNA14172_R0	gene_9751
Lhum_RNA14177_R0	gene_9752
Lhum_RNA14181_R0	gene_9753
Lhum_RNA14183_R0	gene_9754
Sinv_RNA19881_R0	gene_9754
Sinv_RNA12007_R0	gene_9754
Lhum_RNA14186_R0	gene_9755
Lhum_RNA14190_R0	gene_9756
Amel_RNA321_R0	gene_9756
Lhum_RNA14192_R0	gene_9757
Lhum_RNA14194_R0	gene_9758
Lhum_RNA14196_R0	gene_9759
Aech_RNA11692_R0	gene_9759
Nvit_RNA14412_R1	gene_9759
Lhum_RNA14195_R0	gene_9760
Lhum_RNA14198_R0	gene_9761
Sinv_RNA1098_R0	gene_9761
Aech_RNA5098_R0	gene_9761
Lhum_RNA14200_R0	gene_9762
Cbir_RNA14182_R0	gene_9762
Aech_RNA7557_R0	gene_9762
Lhum_RNA14202_R0	gene_9763
Lhum_RNA14205_R0	gene_9764
Lhum_RNA14209_R0	gene_9764
Cbir_RNA4415_R0	gene_9764
Lhum_RNA14216_R0	gene_9765
Lhum_RNA14217_R0	gene_9765
Aech_RNA7096_R0	gene_9765
Lhum_RNA14222_R0	gene_9766
Lhum_RNA14228_R0	gene_9767
Lhum_RNA14229_R0	gene_9767
Lhum_RNA14234_R0	gene_9768
Dqua_RNA13949_R0	gene_9769
Lhum_RNA14237_R0	gene_9770
Lhum_RNA14240_R0	gene_9771
Lhum_RNA14243_R0	gene_9772
Sinv_RNA18477_R0	gene_9772
Nvit_RNA9024_R0	gene_9772
Nvit_RNA21129_R0	gene_9772
Sinv_RNA4244_R8	gene_9772
Sinv_RNA4245_R4	gene_9772
Nvit_RNA9023_R3	gene_9772
Lhum_RNA14245_R0	gene_9773
Lhum_RNA14246_R0	gene_9773
Sinv_RNA13507_R0	gene_9773
Lhum_RNA14248_R0	gene_9774
Nvit_RNA21041_R0	gene_9774
Mpha_RNA10314_R0	gene_9774
Lhum_RNA14250_R0	gene_9775
Nvit_RNA25802_R0	gene_9776
Lhum_RNA14251_R0	gene_9777
Lhum_RNA14252_R0	gene_9778
Lhum_RNA1627_R1	gene_9779
Lhum_RNA14258_R0	gene_9780
Mpha_RNA13263_R1	gene_9781
Dqua_RNA22027_R7	gene_9782
Nvit_RNA26121_R9	gene_9783
Sinv_RNA15161_R0	gene_9784
Lhum_RNA3402_R1	gene_9785
Lhum_RNA14261_R0	gene_9786
Lhum_RNA14262_R0	gene_9787
Mpha_RNA3122_R1	gene_9788
Sinv_RNA19576_R0	gene_9789
Dqua_RNA21246_R5	gene_9790
Dqua_RNA17484_R7	gene_9791
Lhum_RNA19050_R6	gene_9792
Mpha_RNA3925_R0	gene_9793
Sinv_RNA18284_R6	gene_9794
Dqua_RNA17739_R0	gene_9795
Cbir_RNA21139_R0	gene_9796
Lhum_RNA14264_R0	gene_9797
Cbir_RNA14063_R2	gene_9798
Mpha_RNA248_R1	gene_9799
Mpha_RNA2257_R0	gene_9800
Lhum_RNA14271_R0	gene_9801
Dmel_RNA26666_R0	gene_9801
Lhum_RNA14273_R0	gene_9802
Cbir_RNA2063_R2	gene_9802
Lhum_RNA14275_R0	gene_9803
Lhum_RNA14280_R0	gene_9804
Lhum_RNA14281_R0	gene_9805
Mpha_RNA11815_R0	gene_9805
Mpha_RNA21615_R0	gene_9805
Lhum_RNA14283_R0	gene_9806
Lhum_RNA14284_R0	gene_9807
Lhum_RNA14282_R0	gene_9808
Lhum_RNA14296_R0	gene_9809
Dmel_RNA4284_R0	gene_9810
Lhum_RNA14266_R0	gene_9811
Lhum_RNA14270_R0	gene_9811
Lhum_RNA14272_R0	gene_9812
Lhum_RNA14274_R0	gene_9813
Lhum_RNA14276_R0	gene_9814
Lhum_RNA22924_R2	gene_9814
Lhum_RNA306_R1	gene_9814
Amel_RNA14279_R0	gene_9815
Lhum_RNA14286_R0	gene_9815
Lhum_RNA14288_R0	gene_9815
Lhum_RNA14291_R0	gene_9815
Cbir_RNA5204_R0	gene_9815
Lhum_RNA14293_R0	gene_9815
Aech_RNA2248_R0	gene_9815
Dqua_RNA19_R0	gene_9815
Lhum_RNA14294_R0	gene_9815
Aech_RNA2254_R0	gene_9815
Dqua_RNA18_R0	gene_9815
Aech_RNA18607_R1	gene_9815
Sinv_RNA11297_R0	gene_9815
Cbir_RNA5185_R1	gene_9815
Cbir_RNA5186_R1	gene_9815
Lhum_RNA14299_R0	gene_9816
Lhum_RNA14300_R0	gene_9816
Cbir_RNA5188_R0	gene_9816
Cbir_RNA5190_R0	gene_9816
Nvit_RNA2131_R0	gene_9816
Lhum_RNA14302_R0	gene_9817
Dmel_RNA15761_R0	gene_9817
Lhum_RNA14305_R0	gene_9818
Mpha_RNA4560_R0	gene_9818
Dmel_RNA12713_R0	gene_9818
Lhum_RNA14308_R0	gene_9819
Lhum_RNA14312_R0	gene_9820
Lhum_RNA14313_R0	gene_9821
Cbir_RNA10324_R0	gene_9821
Lhum_RNA14320_R0	gene_9822
Lhum_RNA14321_R0	gene_9822
Sinv_RNA7758_R0	gene_9822
Amel_RNA12134_R0	gene_9822
Amel_RNA12137_R0	gene_9822
Lhum_RNA14330_R0	gene_9823
Lhum_RNA14333_R0	gene_9824
Dmel_RNA840_R0	gene_9824
Lhum_RNA14334_R0	gene_9825
Mpha_RNA1691_R0	gene_9825
Mpha_RNA1690_R0	gene_9825
Sinv_RNA3409_R0	gene_9825
Cbir_RNA22516_R0	gene_9825
Nvit_RNA10942_R0	gene_9825
Lhum_RNA14335_R0	gene_9826
Lhum_RNA14337_R0	gene_9827
Lhum_RNA14339_R0	gene_9828
Dqua_RNA21370_R0	gene_9829
Lhum_RNA14351_R0	gene_9830
Lhum_RNA14354_R0	gene_9831
Lhum_RNA14359_R0	gene_9832
Lhum_RNA14365_R0	gene_9833
Lhum_RNA14369_R0	gene_9834
Lhum_RNA14370_R0	gene_9835
Mpha_RNA2024_R0	gene_9835
Lhum_RNA14373_R0	gene_9836
Lhum_RNA14375_R0	gene_9837
Lhum_RNA14376_R0	gene_9838
Amel_RNA28783_R0	gene_9838
Lhum_RNA14379_R0	gene_9839
Dqua_RNA22371_R0	gene_9839
Lhum_RNA14384_R0	gene_9840
Aech_RNA1740_R0	gene_9840
Dmel_RNA5887_R2	gene_9840
Lhum_RNA14385_R0	gene_9841
Lhum_RNA14392_R0	gene_9842
Mpha_RNA6423_R0	gene_9842
Lhum_RNA14311_R0	gene_9843
Nvit_RNA16275_R0	gene_9843
Lhum_RNA14314_R0	gene_9844
Sinv_RNA12797_R0	gene_9844
Mpha_RNA1521_R0	gene_9844
Aech_RNA11092_R0	gene_9845
Lhum_RNA14316_R0	gene_9845
Nvit_RNA4714_R0	gene_9845
Dqua_RNA5439_R0	gene_9846
Lhum_RNA14322_R0	gene_9847
Cbir_RNA6659_R0	gene_9848
Lhum_RNA14324_R0	gene_9848
Lhum_RNA14329_R0	gene_9849
Lhum_RNA14327_R0	gene_9849
Cbir_RNA10796_R3	gene_9850
Lhum_RNA14331_R0	gene_9851
Lhum_RNA14332_R0	gene_9852
Lhum_RNA14336_R0	gene_9853
Lhum_RNA14338_R0	gene_9854
Lhum_RNA14340_R0	gene_9855
Lhum_RNA14341_R0	gene_9856
Lhum_RNA14345_R0	gene_9857
Cbir_RNA21845_R1	gene_9857
Lhum_RNA14353_R0	gene_9858
Lhum_RNA14355_R0	gene_9859
Lhum_RNA14362_R0	gene_9860
Lhum_RNA14360_R0	gene_9860
Amel_RNA12173_R0	gene_9860
Lhum_RNA14363_R0	gene_9861
Sinv_RNA11602_R0	gene_9862
Aech_RNA55_R0	gene_9862
Cbir_RNA8535_R0	gene_9863
Mpha_RNA17874_R0	gene_9863
Lhum_RNA14367_R0	gene_9864
Mpha_RNA18869_R0	gene_9864
Lhum_RNA14368_R0	gene_9865
Aech_RNA18349_R0	gene_9866
Sinv_RNA6321_R0	gene_9866
Lhum_RNA14372_R0	gene_9867
Lhum_RNA14377_R0	gene_9868
Mpha_RNA7808_R0	gene_9868
Lhum_RNA14378_R0	gene_9869
Lhum_RNA14381_R0	gene_9870
Lhum_RNA14389_R0	gene_9871
Lhum_RNA14387_R0	gene_9871
Cbir_RNA19751_R0	gene_9871
